machine_id,company_id,date,UQS
1,1,2024-01-01,68.84
1,1,2024-02-01,72.92
1,1,2024-03-01,74.9
1,1,2024-04-01,73.19
1,1,2024-05-01,75.06
1,1,2024-06-01,72.46
1,1,2024-07-01,71.72
1,1,2024-08-01,74.8
1,1,2024-09-01,72.18
1,1,2024-10-01,73.85
1,1,2024-11-01,70.22
1,1,2024-12-01,74.94
1,1,2025-01-01,73.29
1,1,2025-02-01,71.77
1,1,2025-03-01,69.98
1,1,2025-04-01,75.73
1,1,2025-05-01,72.82
1,1,2025-06-01,73.63
1,1,2025-07-01,68.29
1,1,2025-08-01,69.57
2,1,2024-01-01,75.25
2,1,2024-02-01,75.98
2,1,2024-03-01,77.77
2,1,2024-04-01,77.59
2,1,2024-05-01,75.42
2,1,2024-06-01,74.81
2,1,2024-07-01,75.09
2,1,2024-08-01,74.35
2,1,2024-09-01,72.32
2,1,2024-10-01,74.51
2,1,2024-11-01,72.54
2,1,2024-12-01,75.91
2,1,2025-01-01,77.43
2,1,2025-02-01,75.89
2,1,2025-03-01,73.04
2,1,2025-04-01,77.18
2,1,2025-05-01,75.9
2,1,2025-06-01,76.88
2,1,2025-07-01,72.6
2,1,2025-08-01,74.06
3,1,2024-01-01,74.16
3,1,2024-02-01,76.12
3,1,2024-03-01,76.57
3,1,2024-04-01,76.51
3,1,2024-05-01,78.39
3,1,2024-06-01,75.48
3,1,2024-07-01,77.24
3,1,2024-08-01,75.8
3,1,2024-09-01,72.7
3,1,2024-10-01,74.16
3,1,2024-11-01,75.82
3,1,2024-12-01,75.49
3,1,2025-01-01,73.4
3,1,2025-02-01,74.04
3,1,2025-03-01,74.18
3,1,2025-04-01,75.6
3,1,2025-05-01,72.36
3,1,2025-06-01,77.39
3,1,2025-07-01,71.22
3,1,2025-08-01,76.75
4,1,2024-01-01,73.69
4,1,2024-02-01,79.0
4,1,2024-03-01,75.02
4,1,2024-04-01,74.89
4,1,2024-05-01,77.85
4,1,2024-06-01,76.59
4,1,2024-07-01,74.7
4,1,2024-08-01,74.03
4,1,2024-09-01,73.9
4,1,2024-10-01,75.38
4,1,2024-11-01,74.91
4,1,2024-12-01,77.02
4,1,2025-01-01,74.6
4,1,2025-02-01,79.01
4,1,2025-03-01,75.74
4,1,2025-04-01,77.28
4,1,2025-05-01,73.35
4,1,2025-06-01,77.54
4,1,2025-07-01,74.23
4,1,2025-08-01,75.79
5,1,2024-01-01,76.06
5,1,2024-02-01,76.82
5,1,2024-03-01,76.81
5,1,2024-04-01,76.79
5,1,2024-05-01,76.34
5,1,2024-06-01,77.18
5,1,2024-07-01,74.87
5,1,2024-08-01,74.26
5,1,2024-09-01,75.42
5,1,2024-10-01,76.73
5,1,2024-11-01,75.02
5,1,2024-12-01,72.09
5,1,2025-01-01,76.22
5,1,2025-02-01,76.82
5,1,2025-03-01,76.61
5,1,2025-04-01,78.7
5,1,2025-05-01,75.62
5,1,2025-06-01,77.58
5,1,2025-07-01,71.06
5,1,2025-08-01,74.23
6,1,2024-01-01,73.1
6,1,2024-02-01,78.48
6,1,2024-03-01,77.98
6,1,2024-04-01,77.23
6,1,2024-05-01,77.15
6,1,2024-06-01,76.17
6,1,2024-07-01,74.3
6,1,2024-08-01,73.96
6,1,2024-09-01,74.85
6,1,2024-10-01,76.86
6,1,2024-11-01,75.07
6,1,2024-12-01,78.02
6,1,2025-01-01,77.14
6,1,2025-02-01,76.29
6,1,2025-03-01,76.75
6,1,2025-04-01,79.03
6,1,2025-05-01,77.38
6,1,2025-06-01,76.8
6,1,2025-07-01,75.06
6,1,2025-08-01,75.53
7,1,2024-01-01,76.9
7,1,2024-02-01,81.53
7,1,2024-03-01,76.06
7,1,2024-04-01,75.95
7,1,2024-05-01,74.7
7,1,2024-06-01,78.09
7,1,2024-07-01,75.4
7,1,2024-08-01,76.05
7,1,2024-09-01,77.82
7,1,2024-10-01,75.6
7,1,2024-11-01,73.63
7,1,2024-12-01,77.44
7,1,2025-01-01,75.72
